date,tournament,series,court,surface,round,bestof,winner,loser,wrank,lrank,comment,b365w,b365l,psw,psl,maxw,maxl,avgw,avgl,avgsrc
2026-01-04,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Tiafoe F.,Vukic A.,30,87,Completed,1.44,2.75,1.52,2.7,1.53,2.95,1.47,2.63,file
2026-01-04,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Tien L.,Ugo Carabelli C.,26,48,Completed,1.14,5.5,1.2,5.21,1.18,5.5,1.16,5.06,file
2026-01-05,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Halys Q.,Popyrin A.,91,50,Completed,2.5,1.53,2.49,1.6,2.5,1.57,2.4,1.55,file
2026-01-05,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Korda S.,Vacherot V.,46,31,Completed,1.5,2.63,1.54,2.64,1.52,2.75,1.48,2.61,file
2026-01-05,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Lehecka J.,Machac T.,19,35,Completed,1.5,2.63,1.52,2.71,1.57,2.75,1.49,2.56,file
2026-01-05,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Majchrzak K.,Altmaier D.,59,44,Completed,1.91,1.91,,,1.95,1.91,1.91,1.84,file
2026-01-05,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Medvedev D.,Fucsovics M.,13,54,Completed,1.29,3.75,1.28,4.03,1.29,3.8,1.26,3.73,file
2026-01-05,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Michelsen A.,Duckworth J.,37,86,Completed,1.73,2.1,1.73,2.22,1.8,2.2,1.71,2.11,file
2026-01-05,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Opelka R.,Sweeny D.,60,183,Completed,1.62,2.3,1.6,2.49,1.62,2.6,1.56,2.39,file
2026-01-05,Hong Kong Tennis Open,ATP250,Outdoor,Hard,1st Round,3,Borges N.,Dzumhur D.,45,65,Completed,1.44,2.75,1.47,2.88,1.49,2.8,1.44,2.69,file
2026-01-05,Hong Kong Tennis Open,ATP250,Outdoor,Hard,1st Round,3,Cilic M.,Mannarino A.,70,68,Completed,1.8,2,1.77,2.16,1.81,2.06,1.76,2.02,file
2026-01-05,Hong Kong Tennis Open,ATP250,Outdoor,Hard,1st Round,3,Wu Y.,Marozsan F.,179,53,Completed,2,1.8,2.23,1.72,2.2,1.84,2.08,1.72,file
2026-01-06,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Collignon R.,Shapovalov D.,84,23,Completed,2.1,1.73,2.03,1.86,2.2,1.78,2.06,1.74,file
2026-01-06,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Dimitrov G.,Carreno Busta P.,47,92,Completed,1.44,2.75,1.51,2.74,1.55,2.8,1.47,2.67,file
2026-01-06,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Hijikata R.,Walton A.,111,77,Completed,1.73,2.1,1.79,2.13,1.76,2.1,1.73,2.08,file
